,id,target
0,0,1
1,2,1
2,3,0
3,9,0
4,11,1
5,12,1
6,21,0
7,22,0
8,27,1
9,29,0
10,30,1
11,35,0
12,42,0
13,43,0
14,45,0
15,46,0
16,47,1
17,51,0
18,58,0
19,60,0
20,69,0
21,70,1
22,72,1
23,75,1
24,84,0
25,87,0
26,88,0
27,90,1
28,94,0
29,99,0
30,101,1
31,103,1
32,106,0
33,108,1
34,111,1
35,115,0
36,116,0
37,122,0
38,123,1
39,124,0
40,125,1
41,127,0
42,140,0
43,142,1
44,147,1
45,148,1
46,150,1
47,152,1
48,154,0
49,155,1
50,166,1
51,167,1
52,169,1
53,177,1
54,179,1
55,181,0
56,186,0
57,188,0
58,189,1
59,192,1
60,200,0
61,202,1
62,206,1
63,207,1
64,214,0
65,217,0
66,223,1
67,224,0
68,227,1
69,228,0
70,230,1
71,233,1
72,234,0
73,236,0
74,239,0
75,250,0
76,255,0
77,257,0
78,259,1
79,275,1
80,278,1
81,282,1
82,284,0
83,286,0
84,288,0
85,292,0
86,295,0
87,300,1
88,304,0
89,305,0
90,306,0
91,308,0
92,311,1
93,317,1
94,319,1
95,323,1
96,324,0
97,325,0
98,326,1
99,333,1
100,339,1
101,342,1
102,343,1
103,350,1
104,351,0
105,357,1
106,359,0
107,362,1
108,366,0
109,367,0
110,369,0
111,373,0
112,374,1
113,376,0
114,377,0
115,378,0
116,379,1
117,382,0
118,385,0
119,387,0
120,388,0
121,391,0
122,392,0
123,395,0
124,399,1
125,400,1
126,403,1
127,405,1
128,408,0
129,411,0
130,414,1
131,416,1
132,417,1
133,422,1
134,425,0
135,428,0
136,430,1
137,431,1
138,433,0
139,434,1
140,439,0
141,441,1
142,449,0
143,458,0
144,460,0
145,464,0
146,473,0
147,488,0
148,491,0
149,494,0
150,497,1
151,500,1
152,505,1
153,507,1
154,508,1
155,510,1
156,511,1
157,515,0
158,525,1
159,529,1
160,532,1
161,534,1
162,537,1
163,539,0
164,541,1
165,545,1
166,547,0
167,548,1
168,549,0
169,553,1
170,554,1
171,555,1
172,557,1
